  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time
 89,           244,              34,             23,      3173,        3074,         21,          3916,              88,             66,      1651,         584,         39
 90,           248,              35,             19,      3174,        3074,         23,          4005,              89,             64,      1672,         592,         46
 91,           250,              35,             18,      3266,        3165,         20,          4095,              90,             70,      1693,         600,         37
 92,           252,              35,             19,      3359,        3257,         22,          4186,              91,             67,      1712,         608,         44
 93,           256,              36,             22,      3360,        3257,         22,          4278,              92,             73,      1733,         616,         46
 94,           258,              36,             21,      3455,        3351,         23,          4371,              93,             72,      1752,         624,         44
 95,           260,              36,             21,      3551,        3446,         23,          4465,              94,             75,      1771,         632,         46
 96,           262,              36,             19,      3648,        3542,         23,          4560,              95,             74,      1788,         640,         46
 97,           264,              36,             23,      3746,        3639,         25,          4656,              96,             79,      1813,         648,         44
 98,           268,              37,             22,      3747,        3639,         24,          4753,              97,             77,      1836,         656,         56
 99,           272,              38,             21,      3846,        3737,         26,          4851,              98,             81,      1859,         664,         43
100,           274,              38,             23,      3947,        3837,         23,          4950,              99,             79,      1880,         672,         47
